,0
login,0.0
grp,23.21173104434907
xsect,0.1072961373390558
dem101,0.0
dem02,0.0
dem03,0.0
dem04,0.6795422031473534
dem05,1.6452074391988556
dem05_32,2.396280400572246
dem05_16,1.6452074391988556
dem05_8,1.6452074391988556
dem05_4,1.6452074391988556
dem05_2,1.6452074391988556
dem05_1,1.6452074391988556
socio06,0.6437768240343348
Socio07,4.113018597997139
dem08_128,1.3590844062947067
dem08_64,1.3590844062947067
dem08_32,1.3590844062947067
dem08_16,1.3590844062947067
dem08_8,1.3590844062947067
dem08_4,1.3590844062947067
dem08_2,1.3590844062947067
dem08_1,1.3590844062947067
dem08,1.3590844062947067
bclinpt01,4.07725321888412
bclinpt02,2.503576537911302
bclinpt04,5.257510729613734
bclinpt05,5.901287553648069
bclinpt06,5.901287553648069
bclinpt07,5.901287553648069
bclinpt08,5.901287553648069
bclinpt10,5.901287553648069
bclinpt11,5.901287553648069
bclinpt12,6.652360515021459
bclinpt12a,5.901287553648069
bclinpt13,5.901287553648069
bclinpt14,5.9370529327610875
bclinpt15,5.901287553648069
bclinpt16,5.901287553648069
bclinpt17,5.901287553648069
bclinpt18,5.185979971387697
bclinpt19,3.7911301859799713
bclinpt20,77.3247496423462
bclinpt21,1.3948497854077253
bclinpt22,0.2503576537911302
bclinpt23,44.957081545064376
bclinpt24,1.1802575107296138
bclinpt25,60.264663805436335
bclinpt26,0.9656652360515021
bclinpt27,68.09728183118742
bclinpt28,0.2503576537911302
bclinpt30,0.2503576537911302
bclinpt32,0.7510729613733905
bclinpt34,0.7510729613733905
bclinpt36,0.2503576537911302
bclinpt38,1.2875536480686696
bclinpt40,1.5379113018597996
bclinpt43,2.0028612303290414
bclinpt44,0.0
bclinpt45,0.0
bclinra01,5.042918454935623
bclinra02,4.399141630901288
bclinra06,2.7896995708154506
bclinra08,62.625178826895564
bclinra11,16.952789699570815
bclinra14,45.779685264663804
bclinra16,0.0715307582260372
bclinra101,43.13304721030043
bclinra102,43.776824034334766
bclinra103,43.81258941344778
bclinra104,42.41773962804006
bclinra202,26.32331902718169
bclinra202b_2,26.430615164520745
bclinra202b_5,43.8483547925608
bclinra202c_2,25.679542203147353
bclinra202c_5,42.41773962804006
bclinra203b_2,28.433476394849784
bclinra203b_5,43.81258941344778
bclinra203c_2,25.78683834048641
bclinra203c_5,42.41773962804006
bclinra204b_2,33.118741058655225
bclinra204b_5,44.9928469241774
bclinra204c_2,32.40343347639485
bclinra204c_5,42.41773962804006
bclinra205b_2,28.505007153075823
bclinra205b_5,43.09728183118741
bclinra06a,0.0
fclinra02,9.907010014306152
