;accuracy_score;precision_score;recall_score;f1_score;roc_auc_score;auc
0;0.94;0.9655172413793104;0.9333333333333333;0.9491525423728815;0.9416666666666667;0.9708333333333334
1;1.0;1.0;1.0;1.0;1.0;0.9999999999999999
2;0.96;1.0;0.9090909090909091;0.9523809523809523;0.9545454545454546;0.9983766233766234
3;0.8979591836734694;0.9565217391304348;0.8461538461538461;0.8979591836734695;0.9013377926421405;0.9130434782608695
4;0.9795918367346939;0.9629629629629629;1.0;0.9811320754716981;0.9782608695652174;0.9933110367892976
mean;0.9555102040816326;0.9770003886945415;0.9377156177156177;0.9561249507798003;0.9551621566838959;0.9751128943520249
std;0.035020313020183776;0.019006584763216774;0.058276624687572415;0.03463023157734419;0.033536706656573566;0.032749560486334345
