Variable,Missing value %,Label
FATEXP2_Bank,99.4635193133047,
FATEXP7_Bank,99.4635193133047,
FATEXP5_Bank,99.4635193133047,
FATEXP12_Bank,99.4635193133047,
FATEXP13_Bank,99.4635193133047,
FATEXP18_Bank,99.4635193133047,
FATEXP19_Bank,99.4635193133047,
FATEXP22_Bank,99.4635193133047,
FATEXP24_Bank,99.4635193133047,
FATEXP26_Bank,99.4635193133047,
FATEXP28_Bank,99.4635193133047,
FATEXP29_Bank,99.4635193133047,
FATEXP42_Bank,99.4635193133047,
FATEXP43_Bank,99.4635193133047,
FATEXP45_Bank,99.4635193133047,
FATEXP46_Bank,99.4635193133047,
FATEXP48_Bank,99.4635193133047,
FATEXP49_Bank,99.4635193133047,
FATEXP50_Bank,99.4635193133047,
FATEXP6_Bank,99.4635193133047,
FATIMP6_Bank,99.4635193133047,
FATIMP8_Bank,99.4635193133047,
FATIMP9_Bank,99.4635193133047,
FATIMP10_Bank,99.4635193133047,
FATIMP11_Bank,99.4635193133047,
FATIMP13_Bank,99.4635193133047,
FATIMP14_Bank,99.4635193133047,
FATIMP15_Bank,99.4635193133047,
FATIMP16_Bank,99.4635193133047,
FATIMP18_Bank,99.4635193133047,
FATIMP19_Bank,99.4635193133047,
FATIMP20_Bank,99.4635193133047,
FATIMP21_Bank,99.4635193133047,
FATIMP26_Bank,99.4635193133047,
FATIMP27_Bank,99.4635193133047,
FATIMP29_Bank,99.4635193133047,
FATIMP33_Bank,99.4635193133047,
FATIMP34_Bank,99.4635193133047,
FATIMP35_Bank,99.4635193133047,
FATIMP37_Bank,99.4635193133047,
FATIMP38_Bank,99.4635193133047,
FATIMP42_Bank,99.4635193133047,
FATIMP43_Bank,99.4635193133047,
FATIMP44_Bank,99.4635193133047,
FATIMP45_Bank,99.4635193133047,
FATIMP47_Bank,99.4635193133047,
FATIMP48_Bank,99.4635193133047,
FATIMP51_Bank,99.4635193133047,
FATIMP52_Bank,99.4635193133047,
FATIMP53_Bank,99.4635193133047,
FATIMP55_Bank,99.4635193133047,
FATIMP56_Bank,99.4635193133047,
PAINBE8_SF,99.4635193133047,
PAINBE9_Bank,99.4635193133047,
PAINBE18_Bank,99.4635193133047,
PAINBE22_Bank,99.4635193133047,
PAINBE23_Bank,99.4635193133047,
PAINBE25_Bank,99.4635193133047,
PAINBE28_Bank,99.4635193133047,
PAINBE29_Bank,99.4635193133047,
PAINBE40_Bank,99.4635193133047,
PAINBE41_Bank,99.4635193133047,
PAINBE43_Bank,99.4635193133047,
PAINBE44_Bank,99.4635193133047,
PAINBE48_Bank,99.4635193133047,
PAINBE50_Bank,99.4635193133047,
PAINBE51_Bank,99.4635193133047,
PAININ5_Bank,99.4635193133047,
PAININ6_Bank,99.4635193133047,
PAININ8_Bank,99.4635193133047,
PAININ11_Bank,99.4635193133047,
PAININ14_Bank,99.4635193133047,
PAININ16_Bank,99.4635193133047,
PAININ35_Bank,99.4635193133047,
PAININ37_Bank,99.4635193133047,
PAININ38_Bank,99.4635193133047,
PAININ40_Bank,99.4635193133047,
PAININ42_Bank,99.4635193133047,
PAININ46_Bank,99.4635193133047,
PAININ49_Bank,99.4635193133047,
PAININ50_Bank,99.4635193133047,
PAININ52_Bank,99.4635193133047,
PAININ53_Bank,99.4635193133047,
PAININ54_Bank,99.4635193133047,
PAININ55_Bank,99.4635193133047,
PFA13_Bank,99.4635193133047,
PFA33_Bank,99.4635193133047,
PFC37_Bank,99.4635193133047,
EDANG11_Bank,99.4277539341917,
